;; Planetary Symbols Sender, 30 definitions

*C1?OZ‖~mercury ‖SI‖En‖{U+263F}‖mercury (U+263F)
*C1?OZ‖~venus ‖SI‖En‖{U+2640}‖female sign (U+2640)
*C1?OZ‖~earth ‖SI‖En‖{U+2295}‖circled plus (U+2295)
*C1?OZ‖~mars ‖SI‖En‖{U+2642}‖male sign (U+2642)
*C1?OZ‖~jupiter ‖SI‖En‖{U+2643}‖jupiter (U+2643)
*C1?OZ‖~saturn ‖SI‖En‖{U+2644}‖saturn (U+2644)
*C1?OZ‖~uranus ‖SI‖En‖{U+26E2}‖astronomical symbol for uranus (U+26E2)
*C1?OZ‖~uranus2 ‖SI‖En‖{U+2645}‖uranus (U+2645)
*C1?OZ‖~neptune ‖SI‖En‖{U+2646}‖neptune (U+2646)
*C1?OZ‖~pluto ‖SI‖En‖{U+2647}‖pluto (U+2647)
*C1?OZ‖~pluto2 ‖SI‖En‖{U+2BD3}‖pluto form two (U+2BD3)

*C1?OZ‖~eris ‖SI‖En‖{U+2BF0}‖eris form one (U+2BF0)
*C1?OZ‖~eris2 ‖SI‖En‖{U+2BF1}‖eris form two (U+2BF1)
*C1?OZ‖~ceres ‖SI‖En‖{U+26B3}‖ceres (U+26B3)
*C1?OZ‖~haumea ‖SI‖En‖{U+1F77B}‖haumea (U+1F77B)
*C1?OZ‖~makemake ‖SI‖En‖{U+1F77C}‖makemake (U+1F77C)
*C1?OZ‖~gonggong ‖SI‖En‖{U+1F77D}‖gonggong (U+1F77D)
*C1?OZ‖~quaoar ‖SI‖En‖{U+1F77E}‖quaoar (U+1F77E)
*C1?OZ‖~orcus ‖SI‖En‖{U+1F77F}‖orcus (U+1F77F)
*C1?OZ‖~sedna ‖SI‖En‖{U+2BF2}‖sedna (U+2BF2)

*C1?OZ‖~hygiea ‖SI‖En‖{U+2BDA}‖hygiea (U+2BDA)
*C1?OZ‖~chiron ‖SI‖En‖{U+26B7}‖chiron (U+26B7)
*C1?OZ‖~vesta ‖SI‖En‖{U+26B6}‖vesta (U+26B6)
*C1?OZ‖~astraea ‖SI‖En‖{U+2BD9}‖astraea (U+2BD9)
*C1?OZ‖~pallas ‖SI‖En‖{U+26B4}‖pallas (U+26B4)
*C1?OZ‖~juno ‖SI‖En‖{U+26B5}‖juno (U+26B5)
*C1?OZ‖~nessus ‖SI‖En‖{U+2BDC}‖nessus (U+2BDC)
*C1?OZ‖~pholus ‖SI‖En‖{U+2BDB}‖nessus (U+2BDB)

*C1?OZ‖~moon ‖SI‖En‖{U+263E}‖last quarter moon (U+263E)
*C1?OZ‖~sun ‖SI‖En‖{U+2609}‖sun (U+2609)
